,customer_id,gender,start_date,end_date,is_deleted,campaign_name,class_name,price,calc_date,membership_period,mean,median,max,min,routine_flg
0,OA832399,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.833333333333333,5.0,8,2,1
1,PL270116,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,5.083333333333333,5.0,7,3,1
2,OA974876,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.583333333333333,5.0,6,3,1
3,HD024127,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.833333333333333,4.5,7,2,1
4,IK271057,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,3.75,3.5,5,2,1
5,HI324666,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,3.9166666666666665,3.5,7,2,1
6,AS647421,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.5,4.0,9,2,1
7,GD039425,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.666666666666667,4.5,7,3,1
8,AS058623,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.5,5.0,6,3,1
9,IK102369,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.75,5.0,6,3,1
10,HI339146,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.5,4.5,7,2,1
11,PL765022,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.583333333333333,4.5,7,3,1
12,OA803393,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.75,4.5,8,2,1
13,OA071756,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.166666666666667,4.0,6,2,1
14,GD214739,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,5.416666666666667,5.0,8,3,1
15,IK098074,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.083333333333333,3.5,7,1,1
16,HD792156,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.666666666666667,5.0,7,2,1
17,TS210661,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.833333333333333,4.5,8,3,1
18,TS837282,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,5.583333333333333,5.5,8,3,1
19,OA758157,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.0,4.0,6,2,1
20,OA790739,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.833333333333333,5.0,7,3,1
21,TS487207,M,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,4.0,4.0,6,2,1
22,OA994859,F,2015-05-01,,0,2_일반,0_종일,10500,2019-04-30,47,5.5,5.0,9,3,1
